date,delta_pnl,gamma_pnl,vega_pnl,theta_pnl,residual_pnl
2021-01-01,0.0,0.0,0.0,0.0,0.0
2021-01-04,2.1316282072803006e-14,15.422127363374067,6828.46625514912,-5270.721228730312,-6264.168659207429
2021-01-05,-5.115907697472721e-13,6066.90726536112,4801.155966228084,-5724.943786704089,1649.3135618587385
2021-01-06,0.0,2353.4729228155516,-2636.541692455085,-5703.81911070712,2146.5764967546475
2021-01-07,1.8189894035458565e-12,1158.7487766463557,776.7109396385391,-5382.544947765071,1893.6903192939062
2021-01-08,3.637978807091713e-12,3196.0414667463424,-1718.2159768893603,-5175.227106309818,2185.989768206893
2021-01-11,0.0,20165.52155439681,10735.996135282814,-9294.278753905059,-12448.172437046564
2021-01-12,3.183231456205249e-12,10893.978551425846,9331.431239968226,-11124.292781340455,2869.7352495858777
2021-01-13,0.0,934.54533382171,5092.721942212655,-10991.177603592801,3270.85181430746
2021-01-14,-9.094947017729282e-13,545.1406237067563,-808.3686947458405,-11080.131655116373,3486.5682790104484
2021-01-15,-7.275957614183426e-12,13021.34542512226,3912.0160221019746,-11011.31598754469,2841.042105996894
2021-01-18,-1.8189894035458565e-12,3198.7797184557558,18438.164448252286,-17885.856065977034,-22407.58646675661
2021-01-19,4.263256414560601e-13,1083.0900430024988,-4828.567428569446,-20114.762678013958,6171.282342857747
2021-01-20,-5.4569682106375694e-12,33313.98062360842,6077.182579003736,-20259.16569978838,5616.079439122685
2021-01-21,0.0,13526.566438256654,-4392.68234421039,-18568.070032544776,7592.686191960391
2021-01-22,0.0,58843.86535155632,-24044.05145515022,-15814.9038423429,1312.248390523222
2021-01-25,0.0,1311.0343742874968,14910.464774380875,-24622.12340495215,-31012.49555651391
2021-01-26,-9.094947017729282e-13,6244.642835771048,-2209.370231891071,-28169.11565783159,7766.717509152182
2021-01-27,-7.275957614183426e-12,65796.97517882784,-5946.403007387817,-30246.45568360985,5501.31717138883
2021-01-28,1.4551915228366852e-11,29552.63404515758,26535.604934354007,-30708.287487593003,5759.102056657968
2021-01-29,0.0,738.3687572327415,-22182.32033276931,-37066.99192353291,18850.011778862056
2021-02-01,-23998.00404371025,7579.521746767145,15531.184278646087,-25023.071920125825,-33036.585478974914
2021-02-02,-1.8189894035458565e-12,2048.39674050515,-8216.518501077362,-30223.814950928787,8724.419374213569
2021-02-03,2.7284841053187847e-12,3470.4985558056087,-9121.708044886176,-31802.613105229324,9218.801443537508
2021-02-04,1.5063505998114124e-12,291.8030829008324,-20263.065712922406,-33313.04636306921,10867.189443708528
2021-02-05,-2.0463630789890885e-12,40529.628019956595,-14212.882559036067,-33733.93115942801,14151.906899121936
2021-02-08,-7434.629589765205,2554.4504458371966,17290.078015582578,-23262.438850788687,-28278.191709745213
2021-02-09,0.0,3035.6395249381208,-4725.56266759663,-25314.14959207919,8555.092768475872
2021-02-10,7.275957614183426e-12,4039.675603712276,-25379.64380068912,-24171.218267796517,5642.732806955042
2021-02-11,0.0,4823.654725849307,-8494.78098540719,-24286.65459911852,4979.423029813457
2021-02-12,-7.275957614183426e-12,12485.208660666702,576.1928152686751,-27414.27439594784,19938.523696993296
2021-02-15,-70744.67151859928,39276.20007551427,39405.37780013106,-20164.79466741785,-29279.36250321055
